Dateiname	Sprachtyp	Level	URL	Verfasser_in 	Datum	Herausgeber_in	Überprüfung	Siegel	URL_Standard	Dateiname_Standard	Verfasser_in_Standard	Lizenz	Korpus	Textsorte	Herausgeber_in_anno	Kommentar_Textsorte
p_30_plain	Einfach	A2/B1	https://www.bzfe.de/einfache-sprache/der-saisonkalender/	Barbara Mounier/Klar & Deutlich – Agentur für Einfache Sprache	2020	Bundeszentrum für Ernährung	NA	NA	https://www.bzfe.de/nachhaltiger-konsum/orientierung-beim-einkauf/der-saisonkalender/saisonzeiten-bei-obst-und-gemuese/	p_30_standard	Jürgen Beckhoff	CC	Regina Stodden	Fachexterne Kommunikation	Bundesregierung/Bundesbehörde	NA
p_31_plain	Einfach	A2/B1	https://www.bzfe.de/einfache-sprache/schnelle-kueche/	Barbara Mounier/Klar & Deutlich - Agentur für Einfache Sprache	2020	Bundeszentrum für Ernährung	NA	NA	https://www.bzfe.de/nachhaltiger-konsum/lagern-kochen-essen-teilen/fertigprodukte-selber-machen/	p_31_standard	Melanie Kirk-Mechtel	CC	Regina Stodden	Fachexterne Kommunikation	Bundesregierung/Bundesbehörde	NA
p_32_plain	Einfach	A2/B1	https://www.bzfe.de/einfache-sprache/verpackungsmuell-vermeiden/	Barbara Mounier/Klar & Deutlich – Agentur für Einfache Sprache	2020	Bundeszentrum für Ernährung	NA	NA	https://www.bzfe.de/nachhaltiger-konsum/orientierung-beim-einkauf/verpackungsmuell-vermeiden/	p_32_standard	Julia Icking	CC	Regina Stodden	Fachexterne Kommunikation	Bundesregierung/Bundesbehörde	NA
p_33_plain	Einfach	A2/B1	https://www.bzfe.de/einfache-sprache/klimatipps/	Barbara Mounier/Klar & Deutlich – Agentur für Einfache Sprache 	2019	Bundeszentrum für Ernährung	NA	NA	https://www.bzfe.de/nachhaltiger-konsum/orientierung-beim-einkauf/ernaehrung-und-klimaschutz/	p_33_standard	Britta Klein	CC	Regina Stodden	Fachexterne Kommunikation	Bundesregierung/Bundesbehörde	NA
p_34_plain	Einfach	A2/B1	https://www.bzfe.de/einfache-sprache/energy-drinks/	Barbara Mounier/Klar & Deutlich – Agentur für Einfache Sprache 	2020	Bundeszentrum für Ernährung	NA	NA	https://www.bzfe.de/lebensmittel/trendlebensmittel/energydrinks/	p_34_standard	Dr. Christina Rempe, Hedda Thielking, Gesa Maschkowski	CC	Regina Stodden	Fachexterne Kommunikation	Bundesregierung/Bundesbehörde	NA
p_35_plain	Einfach	A2/B1	https://www.bzfe.de/einfache-sprache/fertigprodukte/	Barbara Mounier/Klar & Deutlich - Agentur für Einfache Sprache 	2020	Bundeszentrum für Ernährung	NA	NA	https://www.bzfe.de/lebensmittel/einkauf-und-kennzeichnung/convenience/convenience-produkte-im-alltag/	p_35_standard	Verena Dorloff	CC	Regina Stodden	Fachexterne Kommunikation	Bundesregierung/Bundesbehörde	NA
p_36_plain	Einfach	A2/B1	https://www.bzfe.de/einfache-sprache/allergenkennzeichnung/	Barbara Mounier/Klar & Deutlich – Agentur für Einfache Sprache 	2019	Bundeszentrum für Ernährung	NA	NA	https://www.bzfe.de/lebensmittel/einkauf-und-kennzeichnung/kennzeichnung/allergenkennzeichnung/	p_36_standard	Sonja Lämmel, Gesa Maschkowski, Dr. Christina Rempe	CC	Regina Stodden	Fachexterne Kommunikation	Bundesregierung/Bundesbehörde	NA
p_37_plain	Einfach	A2/B1	https://www.bzfe.de/einfache-sprache/haltbarkeit/	Barbara Mounier/Klar & Deutlich – Agentur für Einfache Sprache 	2019	Bundeszentrum für Ernährung	NA	NA	https://www.bzfe.de/service/news/aktuelle-meldungen/news-archiv/meldungen-2018/maerz/haltbarkeit-von-lebensmitteln/	p_37_standard	NA	CC	Regina Stodden	Fachexterne Kommunikation	Bundesregierung/Bundesbehörde	NA
p_38_plain	Einfach	A2/B1	https://www.bzfe.de/einfache-sprache/schnelle-kueche/	Barbara Mounier/Klar & Deutlich - Agentur für Einfache Sprache	2020	Bundeszentrum für Ernährung	NA	NA	https://www.bzfe.de/nachhaltiger-konsum/lagern-kochen-essen-teilen/fertigprodukte-selber-machen/	p_38_standard	Melanie Kirk-Mechtel	CC	Regina Stodden	Fachexterne Kommunikation	Bundesregierung/Bundesbehörde	NA
p_39_plain	Einfach	A2/B1	https://www.bzfe.de/einfache-sprache/meal-prepping/	Frauke Diebold Napierala/Klar & Deutlich - Agentur für Einfache Sprache	2020	Bundeszentrum für Ernährung	NA	NA	https://www.bzfe.de/nachhaltiger-konsum/lagern-kochen-essen-teilen/meal-prepping/	p_39_standard	Hannah Schon	CC	Regina Stodden	Fachexterne Kommunikation	Bundesregierung/Bundesbehörde	NA
p_40_plain	Einfach	A2/B1	https://www.bzfe.de/einfache-sprache/lagerung/	Barbara Mounier/Klar & Deutlich – Agentur für Einfache Sprache 	2019	Bundeszentrum für Ernährung	NA	NA	https://www.bzfe.de/nachhaltiger-konsum/lagern-kochen-essen-teilen/lebensmittel-richtig-lagern/	p_40_standard	Heike Rapp	CC	Regina Stodden	Fachexterne Kommunikation	Bundesregierung/Bundesbehörde	NA
p_41_plain	Einfach	A2/B1	https://www.bzfe.de/einfache-sprache/zubereitung/	Barbara Mounier/Klar & Deutlich - Agentur für Einfache Sprache 	2020	Bundeszentrum für Ernährung	NA	NA	https://www.bzfe.de/lebensmittel/zubereitung/lebensmittel-garen/	p_41_standard	Anneke Schülein, Julia Schaechtele	CC	Regina Stodden	Fachexterne Kommunikation	Bundesregierung/Bundesbehörde	NA
p_42_plain	Einfach	A2/B1	https://www.bzfe.de/einfache-sprache/fertigprodukte/	Barbara Mounier/Klar & Deutlich - Agentur für Einfache Sprache 	2020	Bundeszentrum für Ernährung	NA	NA	https://www.bzfe.de/lebensmittel/einkauf-und-kennzeichnung/convenience/convenience-produkte-im-alltag/	p_42_standard	Verena Dorloff	CC	Regina Stodden	Fachexterne Kommunikation	Bundesregierung/Bundesbehörde	NA
p_43_plain	Einfach	A2/B1	https://www.bzfe.de/einfache-sprache/essen-und-stress/	Frauke Diebold-Napierala/Klar & Deutlich - Agentur für Einfache Sprache 	2020	Bundeszentrum für Ernährung	NA	NA	https://www.bzfe.de/ernaehrung/ernaehrungswissen/gesundheit/wie-emotionen-unser-essen-beeinflussen/	p_43_standard	Nadia Röwe	CC	Regina Stodden	Fachexterne Kommunikation	Bundesregierung/Bundesbehörde	NA
